"编号","开始答题时间","结束答题时间","答题时长","1.性别","2.年龄","3.饮食偏好:是否喜欢辣","3.饮食偏好:是否喜欢甜","3.饮食偏好:是否喜欢酸","3.饮食偏好:是否偏爱素食","3.饮食偏好:能否接受生食（如刺身）","3.饮食偏好:能否接受冷食（如冰淇淋）","3.饮食偏好:能否接受带有臭味的食物（如螺蛳粉 榴莲 臭豆腐）","3.饮食偏好:能否接受重口味食物","3.饮食偏好:能否接受清淡口味食物","4.您喜欢的菜系（多选）:川菜（如麻辣香锅、毛血旺）","4.您喜欢的菜系（多选）:粤菜&港式（如烧腊、菠萝油）","4.您喜欢的菜系（多选）:湘菜（如小炒黄牛肉）","4.您喜欢的菜系（多选）:江浙菜（如西湖醋鱼、东坡肉）","4.您喜欢的菜系（多选）:日料（如寿司、刺身）","4.您喜欢的菜系（多选）:韩餐（如石锅拌饭）","4.您喜欢的菜系（多选）:西餐（如牛排、披萨）","4.您喜欢的菜系（多选）:东南亚风格（如冬阴功汤）","4.您喜欢的菜系（多选）:其他____{fillblank-514a}","4.您喜欢的菜系（多选）:其他____{fillblank-514a}[选项填空]","5.为食物打分:沙拉","5.为食物打分:麻辣香锅","5.为食物打分:酸菜鱼","5.为食物打分:甜甜圈","5.为食物打分:水煮蔬菜","5.为食物打分:白切鸡","5.为食物打分:寿司","5.为食物打分:麻辣烫","5.为食物打分:韩式炸鸡","5.为食物打分:冬阴功汤","5.为食物打分:蜜汁叉烧","5.为食物打分:烧烤","5.为食物打分:菌菇汤","5.为食物打分:卤味","5.为食物打分:蛋挞","5.为食物打分:红烧肉","5.为食物打分:汉堡","5.为食物打分:石锅拌饭","5.为食物打分:煲仔饭","5.为食物打分:皮蛋瘦肉粥","5.为食物打分:刺身","5.为食物打分:牛排","5.为食物打分:披萨","5.为食物打分:冰淇淋","5.为食物打分:布丁","5.为食物打分:新疆爆辣炒粉","5.为食物打分:小笼包","5.为食物打分:酸辣粉","5.为食物打分:小米粥","5.为食物打分:螺蛳粉","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"303","16-Apr-2025 18:00:51","16-Apr-2025 18:03:53","182","A.女","B.19-30岁","A.是","A.是","A.是","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","","","","1","3","4","2","1","1","3","2","3","0","1","5","0","3","0","4","3","3","1","2","3","5","4","4","4","2","4","3","1","1","简体中文","未清洗","","中国","江苏省","南京市","","240e:479:a60:8472:c8b7:5eff:fe87:21f1","Mozilla/5.0 (Linux; Android 15; REP-AN00 Build/HONORREP-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300473 MMWEBSDK/20250201 MMWEBID/6706 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm64","",
"302","16-Apr-2025 18:01:28","16-Apr-2025 18:02:52","84","A.女","C.31-50岁","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","3","4","2","2","4","5","3","3","4","3","5","3","5","3","3","3","5","5","5","5","5","5","5","3","3","3","3","5","4","简体中文","未清洗","","中国","上海市","上海市","","124.79.234.41","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/WIFI Language/zh_CN","",
"301","16-Apr-2025 18:01:09","16-Apr-2025 18:02:51","102","A.女","C.31-50岁","B.否","B.否","B.否","B.否","A.是","A.是","A.是","B.否","A.是","","","C.湘菜（如小炒黄牛肉）","","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","4","3","5","4","4","3","4","3","3","2","2","3","5","4","4","3","3","4","5","5","4","4","4","4","4","3","5","5","5","3","简体中文","未清洗","","中国","湖南省","邵阳市","","223.155.203.94","Mozilla/5.0 (Linux; Android 14; LRA-AN00 Build/HONORLRA-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/3074 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm64","",
"300","16-Apr-2025 18:00:49","16-Apr-2025 18:02:31","102","A.女","A.18岁以下","B.否","A.是","B.否","B.否","A.是","A.是","A.是","A.是","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","5","2","2","4","3","3","3","2","3","3","3","3","3","3","3","3","5","3","3","3","3","5","5","5","5","3","4","3","3","3","简体中文","未清洗","","中国","浙江省","绍兴市","","39.172.184.121","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/WIFI Language/zh_CN","",
"299","16-Apr-2025 18:00:46","16-Apr-2025 18:02:18","92","A.女","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","5","2","2","5","2","4","5","2","5","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","1","5","1","2","2","简体中文","未清洗","","中国","浙江省","绍兴市","","2409:8a28:5e1b:a494:ad64:c8cf:278c:e308","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/WIFI Language/zh_CN","",
"298","16-Apr-2025 17:47:06","16-Apr-2025 17:59:00","714","B.男","A.18岁以下","A.是","A.是","A.是","B.否","B.否","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","3","5","5","5","5","5","5","4","5","4","5","5","5","5","5","5","5","5","5","5","0","5","5","5","5","5","5","5","5","3","简体中文","未清洗","","中国","","","","2409:8929:5f51:d386:f444:22ff:fe1c:45db","Mozilla/5.0 (Linux; Android 12; PFUM10 Build/SKQ1.211209.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20241202 MMWEBID/2760 MicroMessenger/8.0.56.2800(0x28003833) WeChat/arm64","",
"297","16-Apr-2025 17:57:23","16-Apr-2025 17:58:55","92","B.男","D.51岁及以上","B.否","A.是","B.否","A.是","A.是","A.是","B.否","A.是","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","3","3","3","3","4","3","3","2","1","2","4","2","4","3","3","5","4","4","4","3","3","4","5","3","3","2","5","3","5","1","简体中文","未清洗","","中国","江苏省","常州市","","114.228.223.42","Mozilla/5.0 (Linux; Android 11; SM-G9960 Build/RP1A.200720.012; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300473 MMWEBSDK/20250201 MMWEBID/8928 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm","",
"296","16-Apr-2025 17:57:06","16-Apr-2025 17:58:55","109","B.男","B.19-30岁","A.是","A.是","B.否","B.否","A.是","A.是","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","2","4","3","2","2","4","2","3","0","3","3","3","3","5","5","4","3","3","3","4","2","4","5","5","1","5","0","3","0","简体中文","未清洗","","中国","","","","240e:47f:34d0:e2c7:e101:4d06:32e4:cb5e","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003932) NetType/4G Language/zh_CN","",
"295","16-Apr-2025 17:53:06","16-Apr-2025 17:58:41","335","A.女","A.18岁以下","B.否","B.否","A.是","B.否","A.是","A.是","A.是","A.是","B.否","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","5","0","5","1","2","4","3","4","3","0","0","2","1","5","3","3","3","0","3","4","3","4","1","4","1","0","4","1","0","0","简体中文","未清洗","","中国","浙江省","绍兴市","","2409:8929:6646:d559:e588:79ba:ff24:837f","Mozilla/5.0 (Linux; Android 12; OCE-AN10 Build/HUAWEIOCE-AN10; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300493 MMWEBSDK/20250201 MMWEBID/8713 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm6","",
"294","16-Apr-2025 17:54:42","16-Apr-2025 17:57:05","143","A.女","C.31-50岁","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","3","2","3","2","4","4","2","2","1","3","2","2","3","2","1","2","2","2","2","3","3","3","3","1","2","2","3","3","3","3","简体中文","未清洗","","中国","上海市","上海市","","2409:891f:8fe4:8390:1836:b752:b22f:dfa9","Mozilla/5.0 (Linux; Android 14; 2407FRK8EC Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/5406 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/a","",
"293","16-Apr-2025 17:51:19","16-Apr-2025 17:52:50","91","A.女","C.31-50岁","A.是","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","2","4","5","2","0","5","3","5","2","5","2","5","5","5","3","4","3","3","3","3","2","5","3","3","3","3","3","5","5","5","简体中文","未清洗","","中国","浙江省","绍兴市","","183.145.243.207","Mozilla/5.0 (Linux; Android 14; 2304FPN6DC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/3501 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/a","",
"292","16-Apr-2025 17:50:55","16-Apr-2025 17:52:24","89","B.男","B.19-30岁","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","","","","2","3","4","1","1","3","2","3","3","3","2","5","4","4","2","4","3","3","3","4","3","4","2","5","1","4","2","2","1","3","简体中文","未清洗","","中国","浙江省","金华市","","60.12.158.155","Mozilla/5.0 (Linux; Android 12; ELS-AN00 Build/HUAWEIELS-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/1992 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm6","",
"291","16-Apr-2025 16:59:02","16-Apr-2025 17:51:20","3138","A.女","C.31-50岁","B.否","B.否","B.否","A.是","A.是","A.是","A.是","B.否","A.是","","","","","","","","","I.其他____________","东北菜","5","4","3","0","3","4","4","3","0","3","4","4","4","4","3","3","1","4","5","5","4","4","4","5","4","3","3","3","5","4","简体中文","未清洗","","中国","","","","2409:893d:b2a:9258:742b:c8ff:feb4:6a20","Mozilla/5.0 (Linux; Android 11; M2102K1AC Build/RKQ1.201112.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20240404 MMWEBID/4008 MicroMessenger/8.0.49.2600(0x2800315A) WeChat/ar","",
"290","16-Apr-2025 17:49:11","16-Apr-2025 17:50:53","102","B.男","D.51岁及以上","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","","","","","3","3","3","0","3","5","4","3","3","3","1","1","3","3","3","3","3","3","3","3","5","1","3","3","1","1","3","1","3","1","简体中文","未清洗","","中国","浙江省","宁波市","","115.215.225.49","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.50(0x1800323d) NetType/WIFI Language/zh_CN","",
"289","16-Apr-2025 17:48:38","16-Apr-2025 17:50:15","97","A.女","C.31-50岁","B.否","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","2","3","3","1","2","4","4","3","4","3","4","4","3","4","4","5","5","4","3","4","0","5","5","5","5","2","5","1","3","0","简体中文","未清洗","","中国","江苏省","常州市","","240e:479:4200:2d0:1836:9f87:f1fb:5a70","Mozilla/5.0 (Linux; Android 13; PHT110 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/4887 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm64","",
"288","16-Apr-2025 17:47:34","16-Apr-2025 17:49:37","123","B.男","A.18岁以下","A.是","A.是","B.否","B.否","B.否","A.是","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","4","4","5","0","2","5","4","4","0","2","2","4","4","5","5","5","5","5","3","0","5","5","5","5","0","5","0","2","0","简体中文","未清洗","","中国","浙江省","绍兴市","","2409:8929:5e33:8d3f:9919:68f2:2f72:3d51","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/4G Language/zh_CN","",
"287","16-Apr-2025 17:48:18","16-Apr-2025 17:49:28","70","A.女","B.19-30岁","B.否","A.是","A.是","A.是","B.否","B.否","B.否","B.否","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","4","4","4","4","2","4","1","4","2","2","2","4","4","2","4","4","2","4","4","4","2","4","4","4","4","4","4","4","4","0","简体中文","未清洗","","中国","","","","2409:895a:30d6:848e:191e:ba24:7563:3a25","Mozilla/5.0 (iPhone; CPU iPhone OS 15_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003932) NetType/4G Language/zh_CN","",
"286","16-Apr-2025 17:47:20","16-Apr-2025 17:49:20","120","B.男","D.51岁及以上","B.否","B.否","B.否","B.否","B.否","B.否","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","3","3","5","3","3","4","2","2","3","4","4","3","4","4","3","4","4","4","4","5","2","4","4","3","3","2","4","3","4","2","简体中文","未清洗","","中国","浙江省","绍兴市","","2409:8a28:5f61:ba33:a809:12ee:f682:be53","Mozilla/5.0 (Linux; Android 15; V2309A Build/AP3A.240905.015.A1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300473 MMWEBSDK/20250201 MMWEBID/8704 MicroMessenger/8.0.58.2820(0x28003A10) WeChat/ar","",
"285","16-Apr-2025 17:46:52","16-Apr-2025 17:49:05","133","A.女","C.31-50岁","A.是","A.是","A.是","A.是","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","","","","5","5","3","4","3","3","4","2","2","2","3","2","4","1","3","4","1","2","3","0","5","4","1","3","3","1","3","3","3","4","简体中文","未清洗","","中国","江苏省","常州市","","2409:8a20:3ae7:1d70:317a:d725:e11d:e895","Mozilla/5.0 (Linux; Android 13; 2211133C Build/TKQ1.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300473 MMWEBSDK/20250201 MMWEBID/6780 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm","",
"284","16-Apr-2025 17:44:33","16-Apr-2025 17:47:38","185","A.女","B.19-30岁","B.否","A.是","A.是","B.否","B.否","A.是","B.否","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","5","4","2","3","3","4","4","4","4","1","5","3","1","5","4","5","3","4","4","5","1","4","4","4","5","1","5","0","5","0","简体中文","未清洗","","中国","","","","240e:478:3a78:1fd8:24c3:d0ff:fe89:2002","Mozilla/5.0 (Linux; Android 14; 23127PN0CC Build/UKQ1.230804.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20241202 MMWEBID/4998 MicroMessenger/8.0.56.2800(0x2800385E) WeChat/a","",
"283","16-Apr-2025 17:45:30","16-Apr-2025 17:46:59","89","B.男","B.19-30岁","A.是","A.是","A.是","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","3","3","3","3","3","4","3","3","3","4","4","5","4","4","5","5","5","3","5","4","3","4","3","3","3","3","5","3","3","4","简体中文","未清洗","","中国","浙江省","杭州市","","112.10.130.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 NetType/WIFI MicroMessenger/7.0.20.1781(0x6700143B) WindowsWechat(0x63090c33) XWEB/11581 Flue","",
"282","16-Apr-2025 17:44:36","16-Apr-2025 17:46:14","98","A.女","A.18岁以下","A.是","A.是","A.是","B.否","B.否","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","5","5","5","1","2","1","1","5","5","3","2","5","5","1","5","5","1","5","5","5","0","5","2","5","3","5","5","5","5","5","简体中文","未清洗","","中国","浙江省","绍兴市","","2408:8441:5e10:329a:c58b:7b76:955:c003","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.52(0x18003426) NetType/4G Language/zh_CN","",
"281","16-Apr-2025 17:44:47","16-Apr-2025 17:46:12","85","A.女","A.18岁以下","A.是","A.是","B.否","B.否","A.是","A.是","A.是","A.是","B.否","A.川菜（如麻辣香锅、毛血旺）","","","","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","","H.东南亚风格（如冬阴功汤）","","","1","5","3","1","0","0","2","5","5","4","5","5","5","5","4","5","5","3","3","3","3","5","4","5","3","4","5","4","0","3","简体中文","未清洗","","中国","浙江省","绍兴市","","240e:390:5e63:e640:4048:8578:16a0:127","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/WIFI Language/zh_CN","",
"280","16-Apr-2025 17:43:15","16-Apr-2025 17:45:07","112","A.女","C.31-50岁","A.是","B.否","A.是","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","3","4","4","0","1","4","4","4","4","2","4","4","4","4","3","4","3","4","4","4","4","4","4","3","3","2","3","3","3","4","简体中文","未清洗","","中国","江苏省","南京市","","180.98.0.74","Mozilla/5.0 (Linux; Android 12; HBN-AL80 Build/HUAWEIHBN-AL80; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/6797 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm6","",
"279","16-Apr-2025 17:40:57","16-Apr-2025 17:43:44","167","A.女","A.18岁以下","B.否","A.是","A.是","A.是","A.是","A.是","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","5","2","4","5","4","3","5","3","5","3","5","5","4","5","5","4","5","5","5","5","0","5","5","5","5","0","4","4","4","4","简体中文","未清洗","","中国","浙江省","绍兴市","","124.91.36.231","Mozilla/5.0 (Linux; Android 15; V2352A Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/2375 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/ar","",
"278","16-Apr-2025 17:40:18","16-Apr-2025 17:43:14","176","B.男","C.31-50岁","A.是","B.否","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","","C.湘菜（如小炒黄牛肉）","","","","","","","","1","4","4","2","1","3","1","4","3","0","2","4","4","4","3","3","2","2","3","2","1","3","2","3","3","0","3","3","3","1","简体中文","未清洗","","中国","","","","2409:8924:3a01:21d8:74e0:f601:4291:b99e","Mozilla/5.0 (Linux; Android 12; ANG-AN00 Build/HUAWEIANG-AN00; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20241202 MMWEBID/105 MicroMessenger/8.0.56.2800(0x2800385E) WeChat/arm64","",
"277","16-Apr-2025 17:39:13","16-Apr-2025 17:40:56","103","A.女","C.31-50岁","B.否","B.否","B.否","A.是","B.否","B.否","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","","G.西餐（如牛排、披萨）","","","","4","2","4","3","3","4","3","3","4","4","3","3","5","4","3","4","3","3","4","4","3","5","5","2","2","2","3","2","4","0","简体中文","未清洗","","中国","浙江省","绍兴市","","2409:8a28:5ec6:51f4:1d97:f96a:78a1:6764","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.56(0x1800383b) NetType/WIFI Language/zh_CN","",
"276","16-Apr-2025 17:36:47","16-Apr-2025 17:40:35","228","B.男","A.18岁以下","B.否","A.是","B.否","B.否","A.是","A.是","B.否","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","0","0","1","3","3","5","3","5","3","5","5","3","2","5","5","5","5","5","3","5","5","5","5","3","3","5","3","2","0","简体中文","未清洗","","中国","浙江省","绍兴市","","39.171.137.183","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/WIFI Language/zh_CN","",
"275","16-Apr-2025 17:38:13","16-Apr-2025 17:40:04","111","B.男","A.18岁以下","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","H.东南亚风格（如冬阴功汤）","","","1","5","5","1","0","3","5","3","3","3","4","5","3","3","3","3","4","4","4","1","5","4","4","5","3","0","4","5","2","2","简体中文","未清洗","","中国","浙江省","绍兴市","","2408:8441:5e08:4144:1415:48e8:5d2f:3feb","Mozilla/5.0 (iPhone; CPU iPhone OS 18_3_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003931) NetType/4G Language/zh_CN","",
"274","16-Apr-2025 17:36:52","16-Apr-2025 17:40:02","190","B.男","A.18岁以下","B.否","A.是","B.否","B.否","B.否","A.是","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","3","2","3","5","2","4","4","3","3","1","4","4","1","4","4","3","4","2","5","2","1","5","4","5","5","0","4","0","3","0","简体中文","未清洗","","中国","浙江省","","","39.172.186.16","Mozilla/5.0 (Linux; Android 14; PGIM10 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/134.0.6998.136 Mobile Safari/537.36 XWEB/1340043 MMWEBSDK/20250201 MMWEBID/4901 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm64","",
